nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,389.45519256591797,407.4024658203125,382.6643295288086,423.6520309448242,372.2355041503906,435.29351806640625,372.96309661865234,425.34973907470703,391.88050079345703,417.58876037597656,367.8699493408203,395.2759246826172,371.265380859375,387.2724151611328,,,,696.8418350219727,695.3871002197266,721.3299179077148,719.1478118896484,751.3944854736328,748.2425537109375,747.2727279663086,752.1218566894531,776.6099395751953,775.3976593017578,804.0074768066406,800.6131134033203,848.3769683837891,832.3748779296875
,400.36682891845703,,401.10729217529297,418.63159942626953,391.48126220703125,432.4535675048828,382.59571075439453,448.2501220703125,,431.21946716308594,398.6390838623047,424.06165313720703,380.86795806884766,417.89112854003906,395.6772232055664,411.2269592285156,,692.3800659179688,,696.0948791503906,695.5995712280273,719.8695983886719,719.8695983886719,749.8356704711914,747.359130859375,,756.5223083496094,777.0775451660156,777.3251953125,795.8992004394531,799.1186981201172,804.8147125244141,831.3136596679688
421.8509750366211,,,413.05859375,431.9363327026367,404.26622772216797,445.38348388671875,396.76685333251953,459.3478546142578,397.02545166015625,445.64208984375,409.4382019042969,434.7809295654297,389.2674789428711,435.0395202636719,,431.16053009033203,697.8335952758789,,,695.7647857666016,695.2475814819336,719.2975387573242,719.8147506713867,747.7437362670898,745.15771484375,749.8125534057617,754.9845886230469,776.4485321044922,777.2243347167969,798.9468841552734,797.9124755859375,,835.9269409179688
431.91741943359375,440.07679748535156,428.3816833496094,427.0217819213867,444.42848205566406,417.7744903564453,458.02745056152344,409.0711364746094,472.17039489746094,424.845947265625,459.9313049316406,418.31844329833984,446.60430908203125,389.7605895996094,451.2279510498047,365.5544128417969,450.6840057373047,698.6215209960938,692.6216278076172,693.985237121582,694.5306854248047,693.712516784668,716.6211776733398,718.5302352905273,742.8025054931641,742.5297775268555,749.3478317260742,752.8932189941406,776.6200561523438,777.1654968261719,809.0739898681641,799.5287170410156,853.8004150390625,839.0734252929688
442.99310302734375,439.8583679199219,440.42832946777344,439.2884216308594,456.95689392089844,430.7391586303711,471.20567321777344,421.33496856689453,482.88966369628906,417.0603332519531,472.0605926513672,431.02413177490234,458.09678649902344,405.0913772583008,462.08644104003906,371.4642791748047,467.50099182128906,692.4704055786133,688.7663803100586,688.7663803100586,691.3307037353516,691.3307037353516,713.8397674560547,714.1246948242188,738.0583801269531,737.488525390625,741.1925506591797,750.879997253418,771.9644317626953,773.1041412353516,803.8760223388672,802.7363128662109,849.7489166259766,848.6092224121094
451.3340530395508,449.19738006591797,452.13531494140625,451.0669708251953,468.6946105957031,442.52024841308594,483.11720275878906,434.77477264404297,496.7385559082031,448.3961181640625,482.85011291503906,443.3215026855469,469.495849609375,419.28382873535156,472.70086669921875,398.45116806030273,473.2350616455078,694.4336624145508,690.155891418457,689.6211624145508,689.8885269165039,688.5517234802246,712.3468551635742,712.0794982910156,737.2114334106445,733.468376159668,746.3017120361328,747.1037902832031,768.4926605224609,769.2947540283203,803.5169677734375,804.58642578125,832.1246032714844,850.5725250244141
466.5617904663086,459.8512420654297,463.20652770996094,462.08809661865234,479.98291015625,455.6571350097656,496.20008850097656,443.07484436035156,508.2231903076172,427.4168701171875,495.36126708984375,456.2163543701172,482.2197570800781,433.5682144165039,478.0256805419922,405.3279495239258,471.3151092529297,690.1310958862305,685.931526184082,687.0514144897461,687.0514144897461,687.0514144897461,710.5690002441406,710.0090560913086,729.3270950317383,734.926513671875,711.1289520263672,744.4455413818359,766.8432464599609,770.2029113769531,802.1196441650391,808.2790222167969,844.1153411865234,850.5546875
480.04700469970703,484.9283752441406,476.25037384033203,474.35205841064453,490.08094787597656,468.3859329223633,505.80982971191406,451.8434829711914,522.3522644042969,443.43666076660156,509.60646057128906,470.01305389404297,494.9623260498047,449.13160705566406,489.53857421875,431.50440979003906,475.1656265258789,685.7855758666992,681.1750564575195,682.2598876953125,684.7007522583008,684.4295425415039,709.3805694580078,706.3973007202148,730.5347061157227,729.9922943115234,713.991081237793,741.9253921508789,766.8764190673828,767.4188385009766,795.8955535888672,803.7605743408203,839.2886657714844,851.2217559814453
486.2818298339844,486.03062438964844,484.2721481323242,484.2721481323242,500.34961700439453,476.98704528808594,515.9246520996094,464.92894744873047,536.021484375,460.9095764160156,521.2000732421875,483.7697219848633,508.38834381103516,465.1801528930664,503.3641357421875,452.87084197998047,482.513671875,682.1525573730469,678.3823547363281,678.3823547363281,679.6390914916992,678.8850479125977,704.0197296142578,701.5062484741211,730.159782409668,727.8976593017578,719.6032180786133,741.2190399169922,759.8186950683594,759.5673370361328,796.0126342773438,800.0341796875,842.7631225585938,848.0413970947266
,,,495.0332260131836,511.9399719238281,486.34503173828125,528.6118927001953,476.7175827026367,543.1704864501953,472.0212593078613,531.8993225097656,497.61619567871094,522.7414932250977,480.7094497680664,518.749626159668,,496.6769332885742,,,,677.5924301147461,677.1224899291992,703.2039413452148,701.7941284179688,719.6516952514648,726.7007369995117,713.0725936889648,739.8589477539062,757.7165222167969,756.0717315673828,792.4917755126953,797.4261016845703,,843.2448577880859
